"grid_id","lon","lat","geom"
2187,-118.47922299445551,34.10980874134422,"POLYGON((-118.48461601837695 34.10527957576683,-118.47377829661289 34.10532255450446,-118.47382938529658 34.11433774723675,-118.48466827568315 34.114294763852776,-118.48461601837695 34.10527957576683))"
2188,-118.46838468286103,34.1098512363698,"POLYGON((-118.47377829661289 34.10532255450446,-118.46294056383321 34.1053645612238,-118.46299048389089 34.11437975849732,-118.47382938529658 34.11433774723675,-118.47377829661289 34.10532255450446))"
2189,-118.45754636037518,34.109892759323834,"POLYGON((-118.46294056383321 34.1053645612238,-118.45210282028994 34.1054055959234,-118.45215157171808 34.114420797633095,-118.46299048389089 34.11437975849732,-118.46294056383321 34.1053645612238))"
2190,-118.44670802725001,34.10993331020483,"POLYGON((-118.45210282028994 34.1054055959234,-118.44126506623503 34.10544565860181,-118.44131264903024 34.11446086464256,-118.45215157171808 34.114420797633095,-118.45210282028994 34.1054055959234))"
2191,-118.43586968373748,34.109972889011395,"POLYGON((-118.44126506623503 34.10544565860181,-118.4304273019204 34.10548474925761,-118.43047371607936 34.11449995952437,-118.44131264903024 34.11446086464256,-118.44126506623503 34.10544565860181))"
2192,-118.4250313300896,34.11001149574215,"POLYGON((-118.4304273019204 34.10548474925761,-118.4195895275981 34.1055228678895,-118.41963477311756 34.11453808227715,-118.43047371607936 34.11449995952437,-118.4304273019204 34.10548474925761))"
2193,-118.4141929665584,34.11004913039574,"POLYGON((-118.4195895275981 34.1055228678895,-118.40875174352003 34.10556001449606,-118.40879582039686 34.114575232899554,-118.41963477311756 34.11453808227715,-118.4195895275981 34.1055228678895))"
2194,-118.40335459339593,34.110085792970835,"POLYGON((-118.40875174352003 34.10556001449606,-118.3979139499382 34.105596189076046,-118.39795685816932 34.11461141139027,-118.40879582039686 34.114575232899554,-118.40875174352003 34.10556001449606))"
2195,-118.3925162108541,34.11012148346615,"POLYGON((-118.3979139499382 34.105596189076046,-118.38707614710458 34.105631391628144,-118.38711788668698 34.11464661774805,-118.39795685816932 34.11461141139027,-118.3979139499382 34.105596189076046))"
2196,-118.38167781918503,34.11015620188046,"POLYGON((-118.38707614710458 34.105631391628144,-118.37623833527113 34.105665622151186,-118.37627890620192 34.11468085197168,-118.38711788668698 34.11464661774805,-118.38707614710458 34.105631391628144))"
2197,-118.37083941864061,34.110189948212536,"POLYGON((-118.37623833527113 34.105665622151186,-118.36540051468982 34.10569888064394,-118.36543991696615 34.114714114059915,-118.37627890620192 34.11468085197168,-118.37623833527113 34.105665622151186))"
2198,-118.36000100947301,34.1102227224612,"POLYGON((-118.36540051468982 34.10569888064394,-118.35456268561265 34.10573116710525,-118.35460091923179 34.11474640401162,-118.36543991696615 34.114714114059915,-118.36540051468982 34.10569888064394))"
2199,-118.34916259193416,34.110254524625304,"POLYGON((-118.35456268561265 34.10573116710525,-118.3437248482916 34.10576248153398,-118.34376191325086 34.11477772182568,-118.35460091923179 34.11474640401162,-118.35456268561265 34.10573116710525))"
2200,-118.33832416627608,34.11028535470374,"POLYGON((-118.3437248482916 34.10576248153398,-118.33288700297861 34.10579282392906,-118.33292289927542 34.114808067501,-118.34376191325086 34.11477772182568,-118.3437248482916 34.10576248153398))"
2201,-118.32748573275079,34.11031521269544,"POLYGON((-118.33288700297861 34.10579282392906,-118.3220491499257 34.10582219428937,-118.32208387755756 34.11483744103648,-118.33292289927542 34.114808067501,-118.33288700297861 34.10579282392906))"
2202,-118.31664729161038,34.11034409859933,"POLYGON((-118.3220491499257 34.10582219428937,-118.31121128938486 34.10585059261395,-118.31124484834933 34.114865842431115,-118.32208387755756 34.11483744103648,-118.3220491499257 34.10582219428937))"
2203,-118.3058088431068,34.11037201241444,"POLYGON((-118.31121128938486 34.10585059261395,-118.30037342160801 34.105878018901784,-118.30040581190278 34.114893271683925,-118.31124484834933 34.114865842431115,-118.31121128938486 34.10585059261395))"
2204,-118.29497038749204,34.110398954139754,"POLYGON((-118.30037342160801 34.105878018901784,-118.28953554684718 34.10590447315189,-118.28956676846998 34.11491972879396,-118.30040581190278 34.114893271683925,-118.30037342160801 34.105878018901784))"
2205,-118.28413192501824,34.11042492377436,"POLYGON((-118.28953554684718 34.10590447315189,-118.27869766535437 34.10592995536336,-118.278727718303 34.114945213760244,-118.28956676846998 34.11491972879396,-118.28953554684718 34.10590447315189))"
2206,-118.27329345593729,34.11044992131732,"POLYGON((-118.27869766535437 34.10592995536336,-118.26785977738153 34.10595446553531,-118.26788866165391 34.114969726581926,-118.278727718303 34.114945213760244,-118.27869766535437 34.10592995536336))"
2207,-118.26245498050136,34.1104739467678,"POLYGON((-118.26785977738153 34.10595446553531,-118.25702188318067 34.10597800366688,-118.25704959877477 34.11499326725813,-118.26788866165391 34.114969726581926,-118.26785977738153 34.10595446553531))"
2208,-118.25161649896239,34.110497000124916,"POLYGON((-118.25702188318067 34.10597800366688,-118.24618398300377 34.10600056975724,-118.24621052991766 34.115015835788064,-118.25704959877477 34.11499326725813,-118.25702188318067 34.10597800366688))"
2209,-118.24077801157242,34.11051908138789,"POLYGON((-118.24618398300377 34.10600056975724,-118.23534607710282 34.10602216380559,-118.23537145533466 34.1150374321709,-118.24621052991766 34.115015835788064,-118.24618398300377 34.10600056975724))"
2210,-118.22993951858348,34.11054019055595,"POLYGON((-118.23534607710282 34.10602216380559,-118.22450816572979 34.106042785811226,-118.2245323752778 34.11505805640589,-118.23537145533466 34.1150374321709,-118.23534607710282 34.10602216380559))"
2211,-118.21910102024762,34.110560327628356,"POLYGON((-118.22450816572979 34.106042785811226,-118.2136702491367 34.10606243577337,-118.21369328999918 34.11507770849235,-118.2245323752778 34.11505805640589,-118.22450816572979 34.106042785811226))"
