grid_id,lat,lon,geom,prediction
22,33.74970974567885,-118.32607932013849,"POLYGON((-118.33145747127767 33.74518755881655,-118.32066615906336 33.74521680213959,-118.32070058905569 33.75423177281717,-118.33149305991893 33.75420252631753,-118.33145747127767 33.74518755881655))",13.63535420100733
23,33.74973850664837,-118.31528742489289,"POLYGON((-118.32066615906336 33.74521680213959,-118.30987483945714 33.74524507763126,-118.30990811079818 33.75426005138039,-118.32070058905569 33.75423177281717,-118.32066615906336 33.74521680213959))",14.911603514526467
24,33.74976629973349,-118.30449552237863,"POLYGON((-118.30987483945714 33.74524507763126,-118.29908351270777 33.7452723852906,-118.29911562539522 33.75428736200609,-118.30990811079818 33.75426005138039,-118.30987483945714 33.74524507763126))",15.883831087860388
25,33.74979312493321,-118.29370361284448,"POLYGON((-118.29908351270777 33.7452723852906,-118.28829217906402 33.74529872511664,-118.28832313309563 33.754313704693395,-118.29911562539522 33.75428736200609,-118.29908351270777 33.7452723852906))",17.311624375590807
26,33.75849626811415,-118.40166548686143,"POLYGON((-118.40704012802018 33.75397069868838,-118.39624771588407 33.7540067207129,-118.39629026550037 33.7630216781686,-118.4070838365153 33.76298565223152,-118.40704012802018 33.75397069868838))",11.406988087077577
27,33.75853180810453,-118.3908724907069,"POLYGON((-118.39624771588407 33.7540067207129,-118.38545529461189 33.75404177480881,-118.38549668534642 33.76305673607192,-118.39629026550037 33.7630216781686,-118.39624771588407 33.7540067207129))",11.804381987807224
28,33.75856638011312,-118.38007948553923,"POLYGON((-118.38545529461189 33.75404177480881,-118.37466286445247 33.754075860974915,-118.37470309630237 33.76309082594029,-118.38549668534642 33.76305673607192,-118.38545529461189 33.75404177480881))",11.955576546880543
29,33.758599984138705,-118.36928647160737,"POLYGON((-118.37466286445247 33.754075860974915,-118.36387042565465 33.75410897920996,-118.36390949861713 33.76312394777248,-118.37470309630237 33.76309082594029,-118.37466286445247 33.754075860974915))",11.767506623833164
30,33.7586326201801,-118.35849344916014,"POLYGON((-118.36387042565465 33.75410897920996,-118.35307797846721 33.75414112951281,-118.35311589253959 33.763156101567354,-118.36390949861713 33.76312394777248,-118.36387042565465 33.75410897920996))",11.568498350023633
31,33.758664288236176,-118.34770041844635,"POLYGON((-118.35307797846721 33.75414112951281,-118.34228552313903 33.75417231188237,-118.34232227831868 33.763187287323774,-118.35311589253959 33.763156101567354,-118.35307797846721 33.75414112951281))",12.300452827491728
32,33.75869498830583,-118.33690737971494,"POLYGON((-118.34228552313903 33.75417231188237,-118.33149305991893 33.75420252631753,-118.33152865620326 33.76321750504065,-118.34232227831868 33.763187287323774,-118.34228552313903 33.75417231188237))",12.868250678024932
33,33.75872472038797,-118.32611433321476,"POLYGON((-118.33149305991893 33.75420252631753,-118.32070058905569 33.75423177281717,-118.32073502644229 33.763246754716945,-118.33152865620326 33.76321750504065,-118.33149305991893 33.75420252631753))",13.518099635201251
34,33.75875348448156,-118.31532127919468,"POLYGON((-118.32070058905569 33.75423177281717,-118.30990811079818 33.75426005138039,-118.30994138928467 33.76327503635163,-118.32073502644229 33.763246754716945,-118.32070058905569 33.75423177281717))",14.919697235540005
35,33.758781280585616,-118.30452821790358,"POLYGON((-118.30990811079818 33.75426005138039,-118.29911562539522 33.75428736200609,-118.29914774497927 33.76330234994369,-118.30994138928467 33.76327503635163,-118.30990811079818 33.75426005138039))",17.602015554533956
36,33.75892772937725,-118.23976971140188,"POLYGON((-118.24515309990781 33.75440939604033,-118.23436057685765 33.75443089902234,-118.23438574298328 33.76344590255021,-118.245179424948 33.76342439723268,-118.24515309990781 33.75440939604033))",14.948507726956068
37,33.7674747171869,-118.41250276644344,"POLYGON((-118.41787739814234 33.76294865826196,-118.4070838365153 33.76298565223152,-118.40712755439834 33.77200061677589,-118.41792227515006 33.7719636187887,-118.41787739814234 33.76294865826196))",11.418095134371672
38,33.76751122912293,-118.40170862054909,"POLYGON((-118.4070838365153 33.76298565223152,-118.39629026550037 33.7630216781686,-118.39633282425567 33.77203664662546,-118.40712755439834 33.77200061677589,-118.4070838365153 33.76298565223152))",11.033566283122127
39,33.76754677297326,-118.3909144653898,"POLYGON((-118.39629026550037 33.7630216781686,-118.38549668534642 33.76305673607192,-118.38553808497107 33.77207170833614,-118.39633282425567 33.77203664662546,-118.39629026550037 33.7630216781686))",12.083511736271127
40,33.767581348736655,-118.38012030121449,"POLYGON((-118.38549668534642 33.76305673607192,-118.37470309630237 33.76309082594029,-118.37474333679349 33.77210580190673,-118.38553808497107 33.77207170833614,-118.38549668534642 33.76305673607192))",12.986825860842792
41,33.76761495641194,-118.36932612827215,"POLYGON((-118.37470309630237 33.76309082594029,-118.36390949861713 33.76312394777248,-118.36394857997192 33.77213892733603,-118.37474333679349 33.77210580190673,-118.37470309630237 33.76309082594029))",12.501937219182034
42,33.76764759599789,-118.35853194681164,"POLYGON((-118.36390949861713 33.76312394777248,-118.35311589253959 33.763156101567354,-118.35315381475536 33.77217108462287,-118.36394857997192 33.77213892733603,-118.36390949861713 33.76312394777248))",12.239414655633349
43,33.7676792674934,-118.34773775708204,"POLYGON((-118.35311589253959 33.763156101567354,-118.34232227831868 33.763187287323774,-118.34235904139278 33.77220227376614,-118.35315381475536 33.77217108462287,-118.35311589253959 33.763156101567354))",13.260061987142565
44,33.767709970897336,-118.33694355933213,"POLYGON((-118.34232227831868 33.763187287323774,-118.33152865620326 33.76321750504065,-118.3315642601332 33.77223249476474,-118.34235904139278 33.77220227376614,-118.34232227831868 33.763187287323774))",13.254517989262082
45,33.767739706208644,-118.32614935381099,"POLYGON((-118.33152865620326 33.76321750504065,-118.32073502644229 33.763246754716945,-118.32076947122557 33.77226174761761,-118.3315642601332 33.77223249476474,-118.33152865620326 33.76321750504065))",13.733705923025227
46,33.76776847342627,-118.31535514076752,"POLYGON((-118.32073502644229 33.763246754716945,-118.30994138928467 33.76327503635163,-118.30997467491892 33.77229003232374,-118.32076947122557 33.77226174761761,-118.32073502644229 33.763246754716945))",15.152331388101137
47,33.76779627254922,-118.30456092045068,"POLYGON((-118.30994138928467 33.76327503635163,-118.29914774497927 33.76330234994369,-118.29917987146219 33.772317348882126,-118.30997467491892 33.77229003232374,-118.30994138928467 33.76327503635163))",17.017726545034265
